,t,Upper_CI,Confidence_level,median,Lower_CI
58,1.9191919191919191,15.736886775005338,90%,14.968195352699238,14.14431622024524
59,1.9191919191919191,16.01190274461813,99%,14.968195352699238,14.07403763725143
60,2.0202020202020203,15.724792377875591,80%,15.254367758785753,14.852337349336706
61,2.0202020202020203,16.004382864876195,90%,15.254367758785753,14.436248547980844
62,2.0202020202020203,16.268064514627014,99%,15.254367758785753,14.366542633434886
63,2.121212121212121,16.008372158786315,80%,15.543672018474624,15.14569991119781
64,2.121212121212121,16.28278580871676,90%,15.543672018474624,14.729634133987474
65,2.121212121212121,16.53946754379578,99%,15.543672018474624,14.665126849933154
66,2.2222222222222223,16.301788922199925,80%,15.842644221425129,15.447151924375724
67,2.2222222222222223,16.566892752748984,90%,15.842644221425129,15.033814349657275
68,2.2222222222222223,16.814848467218578,99%,15.842644221425129,14.969916633035368
69,2.323232323232323,16.59398132203616,80%,16.146028990867926,15.75283666936619
70,2.323232323232323,16.857865785347066,90%,16.146028990867926,15.344750338474444
71,2.323232323232323,17.10468674276106,99%,16.146028990867926,15.28104095492418
72,2.4242424242424243,16.8969304156813,80%,16.45297346470252,16.062121173726773
73,2.4242424242424243,17.152435608875187,90%,16.45297346470252,15.661149288126431
74,2.4242424242424243,17.413237742169958,99%,16.45297346470252,15.600134694203474
75,2.525252525252525,17.206523566445583,80%,16.76467343664224,16.37812174528902
76,2.525252525252525,17.45041676009192,90%,16.76467343664224,15.98456613098658
77,2.525252525252525,17.736216800448712,99%,16.76467343664224,15.925621871779118
78,2.6262626262626263,17.51723813481551,80%,17.083769482771686,16.700222719321346
79,2.6262626262626263,17.764072273389818,90%,17.083769482771686,16.314661823037245
80,2.6262626262626263,18.066331031049245,99%,17.083769482771686,16.256860090797858
81,2.727272727272727,17.838438670523924,80%,17.410831344369733,17.027796539393044
82,2.727272727272727,18.09082044292145,90%,17.410831344369733,16.64383797554557
83,2.727272727272727,18.4135031128974,99%,17.410831344369733,16.591549815796007
84,2.8282828282828283,18.161533375420458,80%,17.738299077522512,17.362094679925114
85,2.8282828282828283,18.41921170333929,90%,17.738299077522512,16.977563592019404
86,2.8282828282828283,18.80895515994554,99%,17.738299077522512,16.93283416459907
87,2.929292929292929,18.491363076773187,80%,18.076060674268497,17.702965399745967
88,2.929292929292929,18.75442564482862,90%,18.076060674268497,17.324666293531614
89,2.929292929292929,19.208193090852923,99%,18.076060674268497,17.27682339430787
90,3.0303030303030303,18.8296546746182,80%,18.419090077333472,18.04954545457449
91,3.0303030303030303,19.10361607662086,90%,18.419090077333472,17.673657102517254
92,3.0303030303030303,19.637596911719328,99%,18.419090077333472,17.62494754553402
93,3.131313131313131,19.17706814560795,80%,18.76758445824925,18.401538549628185
94,3.131313131313131,19.46857066156155,90%,18.76758445824925,18.039583440247632
95,3.131313131313131,20.097440824456903,99%,18.76758445824925,17.982551046170148
96,3.2323232323232323,19.52897269144836,80%,19.123420618880807,18.760709234593687
97,3.2323232323232323,19.823987552252262,90%,19.123420618880807,18.390043177241044
98,3.2323232323232323,20.547153758884185,99%,19.123420618880807,18.34667873899808
99,3.333333333333333,19.89040814494775,80%,19.485597542368357,19.12662706409588
100,3.333333333333333,20.20096331741809,90%,19.485597542368357,18.753980056712862
101,3.333333333333333,21.041532927962187,99%,19.485597542368357,18.698663710349408
102,3.4343434343434343,20.25875391348505,80%,19.853252877773254,19.49681871566072
103,3.4343434343434343,20.591599130639366,90%,19.853252877773254,19.10240586793134
104,3.4343434343434343,21.514857691168903,99%,19.853252877773254,19.06093179923888
105,3.5353535353535355,20.63503308225212,80%,20.22720577893936,19.87402025211862
106,3.5353535353535355,20.98743700741893,90%,20.22720577893936,19.466839982127297
107,3.5353535353535355,22.016822424181303,99%,20.22720577893936,19.400471535269016
108,3.636363636363636,21.016832066629064,80%,20.607941371589515,20.25807139041019
109,3.636363636363636,21.40227929813091,90%,20.607941371589515,19.82711901859744
110,3.636363636363636,22.54537367609095,99%,20.607941371589515,19.72241560020664
111,3.7373737373737375,21.406753419713358,80%,20.99947513505885,20.644138185783955
112,3.7373737373737375,21.8371484682572,90%,20.99947513505885,20.184565692912912
113,3.7373737373737375,23.06737943288531,99%,20.99947513505885,20.087174236638607
114,3.8383838383838382,21.808763484301195,80%,21.39782121538888,21.03660936995318
115,3.8383838383838382,22.28128008539808,90%,21.39782121538888,20.54991545363792
116,3.8383838383838382,23.59730854805335,99%,21.39782121538888,20.446194563519327
117,3.939393939393939,22.218719758601807,80%,21.804523415023063,21.43594659299309
118,3.939393939393939,22.73409547014166,90%,21.804523415023063,20.895764269906675
119,3.939393939393939,24.1220889854762,99%,21.804523415023063,20.78327886910621
120,4.040404040404041,22.641300222726155,80%,22.21817207819706,21.84122562030469
121,4.040404040404041,23.199350237401397,90%,22.21817207819706,21.28026165018468
122,4.040404040404041,24.696180262163672,99%,22.21817207819706,21.149772675662117
123,4.141414141414141,23.07864009097641,80%,22.638235116829144,22.25042493796323
124,4.141414141414141,23.673097521225166,90%,22.638235116829144,21.644013146135475
125,4.141414141414141,25.252543989331272,99%,22.638235116829144,21.52164341390748
126,4.242424242424242,23.523626039141146,80%,23.06843594516845,22.667317833309948
127,4.242424242424242,24.156783805575053,90%,23.06843594516845,21.996449585858336
128,4.242424242424242,25.831705739156668,99%,23.06843594516845,21.86289270944056
129,4.343434343434343,23.9759633307222,80%,23.50583149429485,23.094872766372397
130,4.343434343434343,24.64392158291168,90%,23.50583149429485,22.35224857810336
131,4.343434343434343,26.435627935839737,99%,23.50583149429485,22.205865631383865
132,4.444444444444445,24.43727635561984,80%,23.95213378352274,23.529739366243557
133,4.444444444444445,25.14065657974733,90%,23.95213378352274,22.713594195607357
134,4.444444444444445,27.053576411020494,99%,23.95213378352274,22.56667771816652
135,4.545454545454545,24.91158217960332,80%,24.41022560475271,23.965740089901796
136,4.545454545454545,25.652921051550397,90%,24.41022560475271,23.09386244995596
137,4.545454545454545,27.68596980496543,99%,24.41022560475271,22.93336613400851
138,4.646464646464646,25.39367656778673,80%,24.87353224574132,24.403748285682997
